,EVENTO,UF,MUNICÍPIO,SITE,ROTA,DATA CRIAÇÃO,GESTOR ATUAL,PREVISÃO SOBRESSALENTE,Ação,Prazo,Status,Fabricante,Modelo,Cod_Modelo,SS,Afetação
74,341742144,BA,SALVADOR,ACN,BA-CAPITAL,13/04/2025 12:03:16,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,21/04/2025,Sobressalente,ERICSSON,DIPLEX B28 + B5,KRF102378/12,12753,
75,341773569,BA,CAMAÇARI,ITC,BA-CAPITAL,14/04/2025 07:27:57,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,FCU-01,BGM1361001/3,12468,
76,341797577,BA,MATA DE SÃO JOÃO,ASA,BA-CAPITAL,14/04/2025 16:08:05,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,DIPLEX FILTER HIGH,KRF102301/2,12181,
77,341818239,BA,SALVADOR,AQN,BA-CAPITAL,15/04/2025 04:43:05,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
78,341832136,BA,PORTO SEGURO,FAT,BA-SUL,15/04/2025 10:52:19,ICOMON_O&M-BA_SE (Terceiro),-,Icomon atuando,25/04/2025,Icomon Atuando,,,,,
79,341835256,BA,FEIRA DE SANTANA,FJC,BA-NORTE,15/04/2025 11:47:33,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,RRU01B5,KRC11870/3,12750,
80,341855766,BA,OLIVEIRA DOS BREJINHOS,OVB,BA-OESTE,15/04/2025 18:40:57,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,25/04 SS:12615  - Solicitado a Eleny,,Sobressalente,ERICSSON,RRU01B5,KRC11870/2,12615,
81,341863020,BA,SANTA TEREZINHA,STH,BA-NORTE,15/04/2025 23:29:06,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,DUW 41 01,KDU127174/4,12762,
82,341868265,BA,SALVADOR,PSV,BA-CAPITAL,16/04/2025 02:10:04,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,COMBA,OUTDOR QUAD-BAND COMBINER,CM-FDWY4D-OA8B,11035,Sem Impacto
83,341873310,BA,SERRA DO RAMALHO,SRM,BA-OESTE,16/04/2025 05:32:25,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
84,341972568,BA,JUAZEIRO,JCC,BA-NORTE,18/04/2025 06:46:24,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,CORIANT,TX metro,8615 SMART ROUTER,11776,
85,342000613,BA,MATA DE SÃO JOÃO,PDF,BA-CAPITAL,18/04/2025 20:16:38,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
86,342018750,BA,SERRINHA,SOR,BA-NORTE,19/04/2025 08:47:22,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,RRU12B7,KRC161325/2,12710,
87,342089923,BA,CARAVELAS,CJT,BA-SUL,20/04/2025 22:54:36,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,ODU ASNK7,,Sobressalente,SIAE,ODU ASNK7,GE8541-42,12715,
88,342148498,BA,SALVADOR,PAQ,BA-CAPITAL,22/04/2025 08:39:24,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,RRU4415B7,KRC161495/1,12624,
89,342159243,BA,SALVADOR,APM,BA-CAPITAL,22/04/2025 12:18:57,O&M ACESSO VIVO_N1_BA/SE_Fatura_B,-,AGUARDANDO ICOMON INFORMAR SS E CARIMBO PADRÃO,,Fatura B,,,,,
90,342179133,BA,REMANSO,NRE,BA-NORTE,22/04/2025 19:14:49,O&M ACESSO VIVO_N1_BA/SE_Acesso,-,ATENDIDA 24/04 (retirada de Abelhas - Acionar Claro),,Acesso,ERICSSON,RRU12B3,KRC161282/2,12731,
91,342246413,BA,SALVADOR,SPN,BA-CAPITAL,24/04/2025 09:58:36,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
92,342301787,BA,CAMAÇARI,CAA,BA-CAPITAL,25/04/2025 10:24:57,ICOMON_O&M-BA_SE (Terceiro),-,,,Icomon Atuando,ERICSSON,DTRU800,KRC11870/03,11556,
93,342320225,BA,LUÍS EDUARDO MAGALHÃES,BSC,BA-OESTE,25/04/2025 18:17:01,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,02/05 - SS: 12767 PENDENTE,,Sobressalente,ERICSSON,RRU220840,KRC161134/51,12767,
94,342335478,BA,QUIJINGUE,QJG,BA-NORTE,26/04/2025 04:52:14,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,RRU01B5,KRC11870/2,12474,
95,342383284,BA,IRAMAIA,IRM,BA-OESTE,27/04/2025 11:25:08,O&M ACESSO VIVO_N1_BA/SE_Acesso,-,,,Acesso,,,,,
96,342423919,BA,SALVADOR,APM,BA-CAPITAL,28/04/2025 11:42:37,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,ERICSSON,DUW3101,KDU127174/3,12745 ,
97,342424426,BA,SALVADOR,TCS,BA-CAPITAL,28/04/2025 11:52:29,ICOMON_O&M-BA_SE (Terceiro),-,,,Icomon Atuando,,,,,
98,342464151,BA,SÃO DESIDÉRIO,PLD,BA-OESTE,29/04/2025 10:36:50,ICOMON_O&M-BA_SE (Terceiro),-,,,Icomon Atuando,,,,,
99,342484848,BA,SALVADOR,AMA,BA-CAPITAL,29/04/2025 18:49:29,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
100,342492785,BA,ILHÉUS,BVT,BA-SUL,29/04/2025 23:36:02,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
